path,ok,error,total_lines,nonblank_lines,sloc
SemBench/data/loop3_1000/code/010-28783_gcc_testsuite_gcc.dg_builtin-object-size-16.c,True,,127,127,127
SemBench/data/loop3_1000/code/010-5503_C_kata_hash_hash.c,True,,118,118,118
SemBench/data/loop3_1000/code/010-5516_src_uoj_336039.c,True,,11,11,11
SemBench/data/loop3_1000/code/010-6302_courses_lessons_sm1_05_12_List.c,True,,63,63,63
SemBench/data/loop3_1000/code/010-6796_c_berechne_porto.c,True,,20,20,20
SemBench/data/loop3_1000/code/011-11333_bf.c,True,,51,51,51
SemBench/data/loop3_1000/code/011-13835_gdb_testsuite_gdb.base_range-stepping.c,True,,50,50,50
SemBench/data/loop3_1000/code/011-28956_c_html_c_program_examples_demo6_4.c,True,,27,27,27
SemBench/data/loop3_1000/code/011-5691_detag.c,True,,36,36,36
SemBench/data/loop3_1000/code/014-25847_Pancake_Sort_Pancake_Sort.c,True,,42,42,42
SemBench/data/loop3_1000/code/015-10834_math_squre_root_compute_square_root_v1.0_squre_root.c,True,,38,38,38
SemBench/data/loop3_1000/code/015-11155_libsrc_random_mt19937ar.c,True,,121,121,121
SemBench/data/loop3_1000/code/015-27137_tests_toolchain_posix_memalign.c,True,,47,47,47
SemBench/data/loop3_1000/code/016-1174_algorithms_sorting_heapsort.c,True,,54,54,54
SemBench/data/loop3_1000/code/016-18834_w01d02_c_java_similarities_CEx.c,True,,35,35,35
SemBench/data/loop3_1000/code/016-4144_experiments_multi_dimensional_array_2.c,True,,26,26,26
SemBench/data/loop3_1000/code/017-33348_cc1_tests_test008.c,True,,13,13,13
SemBench/data/loop3_1000/code/017-9922_38_count_and_say.c,True,,52,52,52
SemBench/data/loop3_1000/code/018-30720_compiled_C_Euler_Problem-079.c,True,,147,147,147
SemBench/data/loop3_1000/code/018-3824_DATASTRUCTURE_dataSturctureHW3_dataSturctureHW3_Permutation.c,True,,72,72,72
SemBench/data/loop3_1000/code/019-31428_c_maze.c,True,,76,76,76
SemBench/data/loop3_1000/code/019-33983_c_17_letter_combinations_of_a_phone_number.c,True,,85,85,85
SemBench/data/loop3_1000/code/019-4128_c_16_3sum_closest.c,True,,69,69,69
SemBench/data/loop3_1000/code/021-21966_c_selection_sort_tutorial_selection_sort-fixed.c,True,,35,35,35
SemBench/data/loop3_1000/code/022-16256_labs_2_mtxmul-pthd.c,True,,50,50,50
SemBench/data/loop3_1000/code/022-34038_1098.c,True,,51,51,51
SemBench/data/loop3_1000/code/022-7537_sexingjuzhen.c,True,,32,32,32
SemBench/data/loop3_1000/code/023-25382_c_21.c,True,,34,34,34
SemBench/data/loop3_1000/code/024-25810_include_llvm_projects_test-suite_SingleSource_Benchmarks_BenchmarkGame_Large_fasta.c,True,,101,101,101
SemBench/data/loop3_1000/code/024-33478_CTCI_linked-lists_double_linked_list.c,True,,40,40,40
SemBench/data/loop3_1000/code/024-34157_tests_system_tests_test_cases_test_mixed-dim3.manual.ref.c,True,,60,60,60
SemBench/data/loop3_1000/code/024-9372_exercise_3-6.c,True,,47,47,47
SemBench/data/loop3_1000/code/025-24122_tests_while_test.c,True,,43,43,43
SemBench/data/loop3_1000/code/026-27888_code_mathematical-algorithms_add_polynomial_add_poly.c,True,,105,105,105
SemBench/data/loop3_1000/code/026-30385_C_BT_LeetCode0052.c,True,,70,70,70
SemBench/data/loop3_1000/code/027-20970_sort_array_having_only_zeros_ones_and_twos_sort_array_having_only_zeros_ones_and_twos.c,True,,76,76,76
SemBench/data/loop3_1000/code/027-26679_fpu-misc_finvTable.c,True,,40,40,40
SemBench/data/loop3_1000/code/028-22312_InfoEx3_1-3_ex3.c,True,,40,40,40
SemBench/data/loop3_1000/code/029-2144_B_08_Georgi_Stoilov_homework_3_task_1.c,True,,14,14,14
SemBench/data/loop3_1000/code/029-28516_tp1_4.5.c,True,,121,121,121
SemBench/data/loop3_1000/code/029-2861_revision_dynammic_google.c,True,,73,73,73
SemBench/data/loop3_1000/code/029-29333_CS261_Assignment1_src_Q1.c,True,,81,81,81
SemBench/data/loop3_1000/code/029-7074_lecture24_list_errors.c,True,,114,114,114
SemBench/data/loop3_1000/code/030-11680_TOOLS_movinfo.c,True,,267,267,267
SemBench/data/loop3_1000/code/030-1712_nfa.c,True,,305,305,305
SemBench/data/loop3_1000/code/030-31301_Book_Recursion_Problem_binarysearch.c,True,,90,90,90
SemBench/data/loop3_1000/code/030-4257_sorts_selection-sort.c,True,,24,24,24
SemBench/data/loop3_1000/code/031-10517_COP3014_Chapters_4_Exercises_8_ex4-8.c,True,,19,19,19
SemBench/data/loop3_1000/code/031-33882_c_serial_ai.c,True,,264,264,264
SemBench/data/loop3_1000/code/031-35267_tdebug-llvm_clang_test_CoverageMapping_break.c,True,,29,29,29
SemBench/data/loop3_1000/code/031-5890_tests_csmith_rand6.c,True,,1186,1186,1186
SemBench/data/loop3_1000/code/032-30455_Linked_List_Selection_Sort_Linked_List_Selection_Sort.c,True,,76,76,76
SemBench/data/loop3_1000/code/032-8472_linked_list_linkedList.c,True,,218,218,218
SemBench/data/loop3_1000/code/032-9529_c_src_problem_149.c,True,,82,82,82
SemBench/data/loop3_1000/code/033-35469_experiments_cav18_bench_spat.c,True,,46,46,46
SemBench/data/loop3_1000/code/033-5885_list_list.c,True,,105,105,105
SemBench/data/loop3_1000/code/034-20630_sudoku-generator.c,True,,144,144,144
SemBench/data/loop3_1000/code/035-13968_tests_ucc_pretty_output_for.c,True,,15,15,15
SemBench/data/loop3_1000/code/035-19822_insertion.c,True,,59,59,59
SemBench/data/loop3_1000/code/035-21581_core_software_trapgen_engine.c,True,,279,279,279
SemBench/data/loop3_1000/code/035-31522_tests_Examples_others_regex_nfa.c,True,,300,300,300
SemBench/data/loop3_1000/code/035-5031_compare_c_det_by_minor.c,True,,170,170,170
SemBench/data/loop3_1000/code/036-25518_diary_solveoutlines_advancepart_29.c,True,,59,59,59
SemBench/data/loop3_1000/code/036-35092_main.c,True,,95,95,95
SemBench/data/loop3_1000/code/037-13817_mff.cuni.cz_PRG029_strrepl.c,True,,77,77,77
SemBench/data/loop3_1000/code/037-14737_Q0543_今週のアルゴリズム：日付の2進数変換_solver.c,True,,77,77,77
SemBench/data/loop3_1000/code/037-1533_contents_bubble_sort_code_c_bubble_sort.c,True,,28,28,28
SemBench/data/loop3_1000/code/037-23608_src_b64.c,True,,230,230,230
SemBench/data/loop3_1000/code/037-28082_training_026sushi.c,True,,43,43,43
SemBench/data/loop3_1000/code/038-1789_data_structures_graph_lattice_paths.c,True,,44,44,44
SemBench/data/loop3_1000/code/038-2379_algorithms_sorting_insertion-sort_isort-gen.c,True,,77,77,77
SemBench/data/loop3_1000/code/038-26800_simple_dirname.c,True,,22,22,22
SemBench/data/loop3_1000/code/038-32540_content_articles_algorithme_structure_donnees_liste_chainee_liste_chainee.c,True,,106,106,106
SemBench/data/loop3_1000/code/040-17175_gcc_testsuite_c-c++-common_goacc_routine-3.c,True,,47,47,47
SemBench/data/loop3_1000/code/040-2332_software_benchmarks_crc.c,True,,75,75,75
SemBench/data/loop3_1000/code/040-30933_2013_mac0438_aula12-incremento-com_mutex.c,True,,43,43,43
SemBench/data/loop3_1000/code/040-32272_gcc_testsuite_consistency.vlad_layout_f-29-4-10.c,True,,28,28,28
SemBench/data/loop3_1000/code/040-34688_tests_csmith_rand84.c,True,,2553,2553,2553
SemBench/data/loop3_1000/code/042-14697_061_main.c,True,,157,157,157
SemBench/data/loop3_1000/code/042-22676_src_c1.1.c,True,,36,36,36
SemBench/data/loop3_1000/code/042-23860_serialopt_mm.1.c,True,,47,47,47
SemBench/data/loop3_1000/code/043-30992_prime_c-pthread_prime6.c,True,,96,96,96
SemBench/data/loop3_1000/code/045-12293_Algorithms_lab3_SHORTEST-PATHS.c,True,,76,76,76
SemBench/data/loop3_1000/code/045-15090_test_heapstat_example.c,True,,58,58,58
SemBench/data/loop3_1000/code/045-30604_CHTP_ex6.34.c,True,,224,224,224
SemBench/data/loop3_1000/code/046-15378_storage_aby_test_prog.c,True,,40,40,40
SemBench/data/loop3_1000/code/046-32633_2015-09-01_centroid2.c,True,,31,31,31
SemBench/data/loop3_1000/code/047-521_1_1-22.c,True,,42,42,42
SemBench/data/loop3_1000/code/047-5737_quadTree.c,True,,376,376,376
SemBench/data/loop3_1000/code/047-9792_c-work_exercises_kr_chap01_ex0121.c,True,,53,53,53
SemBench/data/loop3_1000/code/048-2293_BME301-Bioelectricity_seizure-detection_seizure-detect-static-threshold.c,True,,35,35,35
SemBench/data/loop3_1000/code/048-28583_solutions_c_src_problem-52.c,True,,58,58,58
SemBench/data/loop3_1000/code/048-28721_diary_solveoutlines_partTwo_integratePart_40.c,True,,23,23,23
SemBench/data/loop3_1000/code/048-33949_code_sorting_src_heap_sort_heap_sort.c,True,,61,61,61
SemBench/data/loop3_1000/code/048-5798_sort_selection_sort_selection_sort.c,True,,39,39,39
SemBench/data/loop3_1000/code/049-1629_source_gcc-latest_libgomp_testsuite_libgomp.c_pr66199-8.c,True,,62,62,62
SemBench/data/loop3_1000/code/050-10300_src_LinkedList.c,True,,75,75,75
SemBench/data/loop3_1000/code/050-13144_2015.02.09.unique-integers.c,True,,19,19,19
SemBench/data/loop3_1000/code/050-27718_imagebez.c,True,,70,70,70
SemBench/data/loop3_1000/code/050-33543_CLRS_dp_lcs.c,True,,51,51,51
SemBench/data/loop3_1000/code/050-7409_problems_c_writingUtilities_myMemCpy.c,True,,69,69,69
SemBench/data/loop3_1000/code/051-18203_exercises_ex13_list_errors.c,True,,129,129,129
SemBench/data/loop3_1000/code/051-26962_zoho_set_datesort.c,True,,80,80,80
SemBench/data/loop3_1000/code/051-27177_tests_regression_09-regions_16-arrayloop_rc.c,True,,48,48,48
SemBench/data/loop3_1000/code/051-28814_src_l4_pkg_valgrind_src_valgrind-3.6.0-svn_memcheck_tests_sigprocmask.c,True,,45,45,45
SemBench/data/loop3_1000/code/052-27710_examples_mandelbrotfp.c,True,,44,44,44
SemBench/data/loop3_1000/code/052-27771_exercises_ex15-1.c,True,,28,28,28
SemBench/data/loop3_1000/code/052-32676_dynamic_c_minPathSum.c,True,,96,96,96
SemBench/data/loop3_1000/code/053-21313_tests_07_phases_omp.dg_simd_mic_success_simd_08_reduction_parallel.c,True,,27,27,27
SemBench/data/loop3_1000/code/053-24035_ref_code_sort_pseudo3D.c,True,,146,146,146
SemBench/data/loop3_1000/code/053-25933_valgrind_none_tests_amd64_pcmpstr64w.c,True,,940,940,940
SemBench/data/loop3_1000/code/053-29183_c_qsort.c,True,,30,30,30
SemBench/data/loop3_1000/code/053-2982_nest_for.c,True,,23,23,23
SemBench/data/loop3_1000/code/053-31274_test_mot_detect_kern.c,True,,33,33,33
SemBench/data/loop3_1000/code/054-2468_224_basic_calculator.c,True,,92,92,92
SemBench/data/loop3_1000/code/054-30522_include_testeEscala.c,True,,67,67,67
SemBench/data/loop3_1000/code/055-11316_src_ReverseLinkedListII.c,True,,95,95,95
SemBench/data/loop3_1000/code/055-28673_Code_Other_bubble_sort.c,True,,21,21,21
SemBench/data/loop3_1000/code/055-31980_Learn-Algorithms_二叉树_4-字典树Trie_trie.c,True,,124,124,124
SemBench/data/loop3_1000/code/055-9370_headers.c,True,,219,219,219
SemBench/data/loop3_1000/code/057-27222_sid_component_bochs_vga_tests_vga-test-modes.c,True,,78,78,78
SemBench/data/loop3_1000/code/057-29144_UNIX_Exams_election.c,True,,66,66,66
SemBench/data/loop3_1000/code/057-30391_source_gcc-latest_libgomp_testsuite_libgomp.c_pr66199-3.c,True,,42,42,42
SemBench/data/loop3_1000/code/057-4922_test-code_Google_rw.c,True,,173,173,173
SemBench/data/loop3_1000/code/058-18615_0X007E.c,True,,45,45,45
SemBench/data/loop3_1000/code/059-15147_c_proto_crc.c,True,,62,62,62
SemBench/data/loop3_1000/code/059-18474_more_programming_pearls_get_prime_number_v4.c,True,,32,32,32
SemBench/data/loop3_1000/code/059-19490_A_28_Hristo_Ezekiev_Homework_3_task_3.c,True,,31,31,31
SemBench/data/loop3_1000/code/059-32830_midi.c,True,,313,313,313
SemBench/data/loop3_1000/code/060-10056_ray.c,True,,93,93,93
SemBench/data/loop3_1000/code/060-24078_benchmarks_10.c,True,,46,46,46
SemBench/data/loop3_1000/code/060-31221_4Functions_exercise1.c,True,,48,48,48
SemBench/data/loop3_1000/code/060-6840_ArraySerialisationPtrArithmetics.c,True,,13,13,13
SemBench/data/loop3_1000/code/060-9264_00_c_language_reverse.c,True,,37,37,37
SemBench/data/loop3_1000/code/061-30115_clang_size_struct-size.c,True,,102,102,102
SemBench/data/loop3_1000/code/061-9306_set_qf_union.c,True,,66,66,66
SemBench/data/loop3_1000/code/062-20789_doesnotworkyet_randompermute.c,True,,34,34,34
SemBench/data/loop3_1000/code/063-33874_leet_328_odd_even_linked_list.c,True,,61,61,61
SemBench/data/loop3_1000/code/064-18053_133_clone_graph.c,True,,70,70,70
SemBench/data/loop3_1000/code/064-32238_valgrind-3.10.1_none_tests_amd64_avx2-1.c,True,,1252,1252,1252
SemBench/data/loop3_1000/code/064-33135_gcc_testsuite_gcc.dg_bitfld-4.c,True,,27,27,27
SemBench/data/loop3_1000/code/065-9063_yuuai_konyaku2.c,True,,19,19,19
SemBench/data/loop3_1000/code/067-16008_12.c,True,,23,23,23
SemBench/data/loop3_1000/code/067-18901_c_code_dfa0.c,True,,379,379,379
SemBench/data/loop3_1000/code/067-8068_scripts_cquote.c,True,,108,108,108
SemBench/data/loop3_1000/code/068-16729_tests_gcc.c-torture_postmod-1.c,True,,41,41,41
SemBench/data/loop3_1000/code/068-6842_C_problem83_main.c,True,,168,168,168
SemBench/data/loop3_1000/code/069-23369_cracking_the_coding_interview_chapter_01_reverse.c,True,,35,35,35
SemBench/data/loop3_1000/code/069-26456_diary_solveoutlines_stage_test_week1_1418-1419-1420_04.c,True,,47,47,47
SemBench/data/loop3_1000/code/069-32335_arrays.c,True,,24,24,24
SemBench/data/loop3_1000/code/069-3545_algorithm_greed_kruskal_graph.c,True,,96,96,96
SemBench/data/loop3_1000/code/069-3579_language_c_storage_int.c,True,,73,73,73
SemBench/data/loop3_1000/code/069-392_Anomalies_Decompiling_zipper.c,True,,35,35,35
SemBench/data/loop3_1000/code/069-4142_ex9.c,True,,20,20,20
SemBench/data/loop3_1000/code/070-11205_insertionsort.c,True,,34,34,34
SemBench/data/loop3_1000/code/070-11338_prime_prime10trillions.c,True,,88,88,88
SemBench/data/loop3_1000/code/070-23488_A_24_Petar_Petrov_homework_4_christmas_tree.c,True,,26,26,26
SemBench/data/loop3_1000/code/070-34468_Strings_reverse_inplace.c,True,,37,37,37
SemBench/data/loop3_1000/code/071-31449_A_03_Antonio_Mindov_homework_4_christmas_tree.c,True,,26,26,26
SemBench/data/loop3_1000/code/071-7273_third_party_llvm_openmp_runtime_test_tasking_bug_36720.c,True,,19,19,19
SemBench/data/loop3_1000/code/072-14730_DS_DS_linked-list_reverse_pair.c,True,,88,88,88
SemBench/data/loop3_1000/code/072-16749_Chapter5_ex05_26.c,True,,37,37,37
SemBench/data/loop3_1000/code/072-23838_gcc_testsuite_consistency.vlad_layout_f-1-21-31.c,True,,28,28,28
SemBench/data/loop3_1000/code/072-33186_e2_e1.c,True,,20,20,20
SemBench/data/loop3_1000/code/072-33886_src_memory_debug_test_clib.c,True,,39,39,39
SemBench/data/loop3_1000/code/072-6928_source_gcc-latest_libgomp_testsuite_libgomp.oacc-c-c++-common_kernels-loop-clauses.c,True,,45,45,45
SemBench/data/loop3_1000/code/073-18189_uloha-5-1.c,True,,85,85,85
SemBench/data/loop3_1000/code/073-19703_single_link.c,True,,280,280,280
SemBench/data/loop3_1000/code/073-21870_codes_catalan_bottomup.c,True,,20,20,20
SemBench/data/loop3_1000/code/074-15185_data_struct_polynomial.c,True,,164,164,164
SemBench/data/loop3_1000/code/074-20155_source_gcc-latest_libgomp_testsuite_libgomp.c_reduction-12.c,True,,91,91,91
SemBench/data/loop3_1000/code/074-33235_learnCthehardway_ex11.c,True,,35,35,35
SemBench/data/loop3_1000/code/075-13519_tools_clang_test_CoverageMapping_macro-expansion.c,True,,21,21,21
SemBench/data/loop3_1000/code/075-2678_Q2.c,True,,14,14,14
SemBench/data/loop3_1000/code/075-29694_ejercicios_tema3_1.2.arrays.c,True,,31,31,31
SemBench/data/loop3_1000/code/075-5772_A_23_Petko_Georgiev_homework_3_task_1.c,True,,9,9,9
SemBench/data/loop3_1000/code/075-796_serialopt_mm.4.c,True,,60,60,60
SemBench/data/loop3_1000/code/076-1782_valgrind_drd_tests_pth_spinlock.c,True,,42,42,42
SemBench/data/loop3_1000/code/076-32973_examples_simple_ex1_fred.c,True,,25,25,25
SemBench/data/loop3_1000/code/077-15045_Algorithms_SpanningTrees_kruskalMST.c,True,,105,105,105
SemBench/data/loop3_1000/code/077-30413_bookasm_chap04_demo.c,True,,23,23,23
SemBench/data/loop3_1000/code/077-33768_norep.c,True,,59,59,59
SemBench/data/loop3_1000/code/078-10196_Uebungen_03_arrays_basics.c,True,,20,20,20
SemBench/data/loop3_1000/code/078-11895_stdlib_bug-strtod.c,True,,62,62,62
SemBench/data/loop3_1000/code/078-23688_uefi_gcc_gcc-4.6.3_libgomp_testsuite_libgomp.c_pr35625.c,True,,14,14,14
SemBench/data/loop3_1000/code/078-29439_tests_gcc.dg_torture_pr56488.c,True,,27,27,27
SemBench/data/loop3_1000/code/079-12806_src_C_C_lang_functions_functions_and_pointers_functions_and_multidim_array_sum_cols_and_rows.c,True,,47,47,47
SemBench/data/loop3_1000/code/079-20426_c_cla_source_04_06_22_sizeof_c.c,True,,13,13,13
SemBench/data/loop3_1000/code/079-9386_solver.c,True,,62,62,62
SemBench/data/loop3_1000/code/081-10143_C_C++_寒假练习题_补习_图_最小生成树.c,True,,60,60,60
SemBench/data/loop3_1000/code/081-24531_libgomp_testsuite_libgomp.oacc-c-c++-common_vprop.c,True,,30,30,30
SemBench/data/loop3_1000/code/081-28837_benchmarks_deputytests_perf_matxmult2.c,True,,30,30,30
SemBench/data/loop3_1000/code/082-3870_C_advance_affinity.c,True,,119,119,119
SemBench/data/loop3_1000/code/083-11861_c_NOAH_013_main.c,True,,49,49,49
SemBench/data/loop3_1000/code/083-20345_which.c,True,,38,38,38
SemBench/data/loop3_1000/code/083-9801_tests_XACC_C_shadow-reflect_reflect_array4d_dist4d_width2.c,True,,191,191,191
SemBench/data/loop3_1000/code/084-28203_threads_prio.c,True,,69,69,69
SemBench/data/loop3_1000/code/084-3831_uClibc_test_malloc_malloc.c,True,,65,65,65
SemBench/data/loop3_1000/code/084-4498_List_List_main.c,True,,110,110,110
SemBench/data/loop3_1000/code/085-33327_algorithms_math_coin_flipping.c,True,,28,28,28
SemBench/data/loop3_1000/code/085-4509_c_split_string.c,True,,50,50,50
SemBench/data/loop3_1000/code/085-7844_lecture15_list_orig.c,True,,81,81,81
SemBench/data/loop3_1000/code/086-21508_simple-examples_char-signed-unsigned.c,True,,28,28,28
SemBench/data/loop3_1000/code/086-33072_eio_test_parseints_getc.c,True,,24,24,24
SemBench/data/loop3_1000/code/086-7335_c_src_lib_libbsp_arm_nds_tools_bin2s.c,True,,106,106,106
SemBench/data/loop3_1000/code/086-946_C_programming_linkedlist_swap_by_ptr.c,True,,73,73,73
SemBench/data/loop3_1000/code/087-17549_spievatko_espievatko_prtbl_srv_new_php-5.2.5_ext_pdo_sqlite_sqlite_tool_mkkeywordhash.c,True,,441,441,441
SemBench/data/loop3_1000/code/088-33692_ds_dshome_revision_224.c,True,,62,62,62
SemBench/data/loop3_1000/code/088-6902_uefi_gcc_gcc-4.6.3_gcc_testsuite_gcc.dg_torture_builtin-math-7.c,True,,64,64,64
SemBench/data/loop3_1000/code/089-26835_wdmatch.c,True,,63,63,63
SemBench/data/loop3_1000/code/089-29092_gcc_testsuite_gcc.dg_graphite_pr83277.c,True,,39,39,39
SemBench/data/loop3_1000/code/090-16973_src_c_books_c_programming_a_modern_approach_second_edition_chapters_ch09_src_ch09pr03.c,True,,80,80,80
SemBench/data/loop3_1000/code/090-8363_exercises_ex13_list_errors.c,True,,117,117,117
SemBench/data/loop3_1000/code/090-8523_ProgrammingInC_chapter10_ex1.c,True,,26,26,26
SemBench/data/loop3_1000/code/092-21742_WorkPackage4_Excer_4_3.c,True,,62,62,62
SemBench/data/loop3_1000/code/092-33241_Lab_4_Tasks4_Task3.c,True,,33,33,33
SemBench/data/loop3_1000/code/093-29543_c_examples_binarytree_morris.c,True,,94,94,94
SemBench/data/loop3_1000/code/094-22737_thr.c,True,,43,43,43
SemBench/data/loop3_1000/code/094-35303_ex15.c,True,,39,39,39
SemBench/data/loop3_1000/code/095-11128_huffman.c,True,,98,98,98
SemBench/data/loop3_1000/code/095-27394_ch2_e02-04_squeezestr.c,True,,51,51,51
SemBench/data/loop3_1000/code/095-30153_src_libgomp_testsuite_libgomp.c_simd-17.c,True,,67,67,67
SemBench/data/loop3_1000/code/095-34076_luoxuanshuzu.c,True,,48,48,48
SemBench/data/loop3_1000/code/097-19226_build_dir_host_cmake-2.8.4_Source_kwsys_EncodeExecutable.c,True,,91,91,91
SemBench/data/loop3_1000/code/097-34782_external_valgrind_main_drd_tests_rwlock_test.c,True,,92,92,92
SemBench/data/loop3_1000/code/099-25143_basic_data-structure_3章线性表_01线性表顺序存储_List.c,True,,162,162,162
SemBench/data/loop3_1000/code/099-9438_gene_mod.c,True,,74,74,74
SemBench/data/loop3_1000/code/100-16014_gcc_testsuite_gcc.dg_torture_pr71132.c,True,,22,22,22
SemBench/data/loop3_1000/code/100-6383_benchmarks_7.c,True,,43,43,43
SemBench/data/loop3_1000/code/101-20433_c_fizzBuzz_fizzBuzz.c,True,,40,40,40
SemBench/data/loop3_1000/code/101-26593_Program2_program2.c,True,,78,78,78
SemBench/data/loop3_1000/code/101-34133_ex15_ex15.c,True,,26,26,26
SemBench/data/loop3_1000/code/102-17682_tests_csmith_rand15.c,True,,384,384,384
SemBench/data/loop3_1000/code/102-19158_data_structures_arrays_ages_in_order.c,True,,68,68,68
SemBench/data/loop3_1000/code/102-29248_helgrind_tests_tc17_sembar.c,True,,114,114,114
SemBench/data/loop3_1000/code/102-3659_gcc_testsuite_gcc.dg_pubtypes-3.c,True,,62,62,62
SemBench/data/loop3_1000/code/103-18333_chapter3_ex_3_06.c,True,,44,44,44
SemBench/data/loop3_1000/code/104-12549_Ano3_SO_set06_2a.c,True,,75,75,75
SemBench/data/loop3_1000/code/104-19880_source_gcc-latest_gcc_testsuite_gcc.dg_pr41783.c,True,,13,13,13
SemBench/data/loop3_1000/code/104-23884_C_sortColor.c,True,,34,34,34
SemBench/data/loop3_1000/code/104-34341_source_gcc-latest_libgomp_testsuite_libgomp.oacc-c-c++-common_par-loop-comb-reduction-3.c,True,,32,32,32
SemBench/data/loop3_1000/code/105-10819_algorithms_easy_middle-of-the-linked-list.c,True,,55,55,55
SemBench/data/loop3_1000/code/105-17140_select_sort.c,True,,31,31,31
SemBench/data/loop3_1000/code/105-30865_0206_reverse_linked_list_reverse_list.c,True,,54,54,54
SemBench/data/loop3_1000/code/106-4080_Lab11_carrera.c,True,,86,86,86
SemBench/data/loop3_1000/code/107-12295_kr_sortMerge.c,True,,57,57,57
SemBench/data/loop3_1000/code/107-29389_16.c,True,,44,44,44
SemBench/data/loop3_1000/code/107-3500_insertion_sort.c,True,,29,29,29
SemBench/data/loop3_1000/code/108-20148_clrs_priority_q.c,True,,62,62,62
SemBench/data/loop3_1000/code/109-16999_symmetric_AES_create_CPLEX-LP_SS_10R.c,True,,46,46,46
SemBench/data/loop3_1000/code/109-31967_algoritmos-e-logica-da-programacao_lacos_1_do_while.c,True,,19,19,19
SemBench/data/loop3_1000/code/109-7686_misc-notes_pp-cb-labs_lab-01_arraylist.c,True,,117,117,117
SemBench/data/loop3_1000/code/110-15760_exercises_ex06_list.c,True,,80,80,80
